cnpj;dt_abertura;de_cnae_principal;de_ramo_atividade;de_setor;endereco_municipio;endereco_uf;endereco_regiao;situacao_cadastral;empresa_porte;optante_simples;optante_simei;nivel_atividade;saude_tributaria
14882442000113;2012-01-16;OBRAS DE ALVENARIA;INDUSTRIA DA CONSTRUCAO;CONSTRUCAO CIVIL;CAPIVARI;SP;SUDESTE;ATIVA;;;;;
14537572000119;2011-08-05;ATIVIDADES DE CONDICIONAMENTO FISICO;SERVICOS DIVERSOS;SERVICOS;MOGI DAS CRUZES;SP;SUDESTE;ATIVA;;;;;
29862467000122;2018-02-14;CLUBES SOCIAIS ESPORTIVOS E SIMILARES;SERVICOS DIVERSOS;SERVICOS;BIGUACU;SC;SUL;ATIVA;;;;;
38118053000184;2020-08-17;COMERCIO VAREJISTA DE FERRAGENS E FERRAMENTAS;VAREJO;COMERCIO;SAO CARLOS;SP;SUDESTE;ATIVA;;;;;
40432544039868;2011-10-10;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS DE TELEFONIA E COMUNICACAO;VAREJO;COMERCIO;CURITIBA;PR;SUL;ATIVA;;;;;
12848537000780;2007-10-24;TRANSPORTE RODOVIARIO DE CARGA EXCETO PRODUTOS PERIGOSOS E MUDANCAS INTERMUNICIPAL INTERESTADUAL E INTERNACIONAL;TRANSPORTE;SERVICOS;ITAPISSUMA;PE;NORDESTE;ATIVA;;;;;
47217654000135;2022-07-20;COMERCIO VAREJISTA DE CALCADOS;VAREJO;COMERCIO;BETIM;MG;SUDESTE;ATIVA;;;;;
20477090000113;2014-06-20;CULTIVO DE FRUTAS DE LAVOURA PERMANENTE NAO ESPECIFICADAS ANTERIORMENTE;PRODUTOS DE AGROPECUARIA;AGROPECUARIA;MIRANDOPOLIS;SP;SUDESTE;ATIVA;;;;;
27489721000163;2017-04-07;AGENCIAS DE VIAGENS;SERVICOS ADMINISTRATIVOS;SERVICOS;SAO PAULO;SP;SUDESTE;ATIVA;;;;;
38092171000160;2020-08-14;CURSOS PREPARATORIOS PARA CONCURSOS;SERVICOS DE EDUCACAO;SERVICOS;IMPERATRIZ;MA;NORDESTE;ATIVA;;;;;
42615882000140;2021-07-07;CORRETORES E AGENTES DE SEGUROS DE PLANOS DE PREVIDENCIA COMPLEMENTAR E DE SAUDE;BENS DE CAPITAL;SERVICOS;ITAPERUCU;PR;SUL;ATIVA;;;;;
42781111000122;2021-07-20;COMERCIO VAREJISTA DE COSMETICOS PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL;VAREJO;COMERCIO;AFOGADOS DA INGAZEIRA;PE;NORDESTE;ATIVA;;;;;
37059422000142;2020-05-04;FORNECIMENTO DE ALIMENTOS PREPARADOS PREPONDERANTEMENTE PARA CONSUMO DOMICILIAR;SERVICOS DE ALOJAMENTO/ALIMENTACAO;SERVICOS;JAU;SP;SUDESTE;ATIVA;;;;;
19701418000154;2014-02-12;COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES;VAREJO;COMERCIO;XINGUARA;PA;NORTE;ATIVA;;;;;
